# route_id;npc_id;move_point;chatText;move_x;move_y;move_z;delay;running

1;31361;1;NULL;22418;10249;-3648;61;True
1;31361;2;NULL;23423;11165;-3720;1;True
1;31361;3;NULL;20182;11101;-3720;1;True
1;31361;4;NULL;17327;13603;-3728;1;True
1;31361;5;The mass of darkness will start in a couple of days. Pay more attention to the guard!;17410;13038;-3736;10;True
1;31361;6;NULL;20176;12902;-3712;1;True
1;31361;7;NULL;21669;13378;-3616;1;True
1;31361;8;NULL;20675;10401;-3712;1;True
2;31360;1;NULL;10826;14777;-4240;62;False
2;31360;2;NULL;10966;14626;-4240;1;False
2;31360;3;NULL;11264;15838;-4584;1;False
2;31360;4;NULL;12100;16378;-4590;2;False
2;31360;5;Youre a hard worker Rayla!;15088;15664;-4376;6;False
2;31360;6;NULL;15232;16279;-4383;7;False
2;31360;7;NULL;12217;16916;-4590;1;False
2;31360;8;NULL;11811;17553;-4580;1;False
2;31360;9;NULL;11275;17628;-4589;1;False
2;31360;10;NULL;10649;17284;-4584;1;False
2;31360;11;Youre a hard worker!;7691;18030;-4376;6;False
2;31360;12;NULL;10593;16738;-4590;2;False
2;31360;13;NULL;11127;16044;-4589;2;False
3;31362;1;Mr. Lid Murdoc and Airy! How are you doing?;114847;-180066;-877;30;False
3;31362;2;NULL;114834;-179685;-877;2;False
3;31362;3;NULL;116122;-179457;-1068;1;False
3;31362;4;NULL;116798;-180391;-1200;2;False
3;31362;5;NULL;116324;-181564;-1384;2;False
3;31362;6;NULL;115797;-181563;-1336;1;False
3;31362;7;Care to go a round?;116054;-181575;-1352;1;False
3;31362;8;NULL;116506;-181478;-1384;2;False
3;31362;9;NULL;116634;-180029;-1160;1;False
3;31362;10;NULL;115347;-178623;-928;1;False
3;31362;11;NULL;115763;-177591;-888;2;False
3;31362;12;Have a nice day Mr. Garita and Mion!;115801;-177342;-880;1;False
3;31362;13;NULL;115869;-177340;-880;15;False
3;31362;14;NULL;115788;-177482;-880;3;False
3;31362;15;NULL;115124;-179821;-885;1;False
3;31362;16;NULL;115103;-180065;-877;1;False
4;31363;1;Where is that fool hiding?;116731;-182477;-1512;10;True
4;31363;2;NULL;115870;-183280;-1472;1;True
4;31363;3;NULL;115746;-183428;-1472;1;True
4;31363;4;NULL;115870;-183280;-1472;1;True
4;31363;5;NULL;115999;-183246;-1480;1;True
4;31363;6;NULL;116094;-183113;-1480;1;True
4;31363;7;Have you seen Torocco today?;116584;-184294;-1568;11;True
4;31363;8;NULL;116392;-184100;-1560;1;True
4;31363;9;NULL;117093;-182524;-1528;1;True
4;31363;10;Have you seen Torocco?;117789;-182540;-1528;11;True
5;31359;1;NULL;45744;50561;-3065;61;False
5;31359;2;NULL;46444;49742;-3065;2;False
5;31359;3;How can we save the Mother Tree?;46103;48798;-3065;5;False
5;31359;4;The Mother Tree is slowly dying;45403;48436;-3065;5;False
5;31359;5;NULL;44444;49078;-3065;1;False
5;31359;6;NULL;44414;50025;-3065;1;False
5;31359;7;NULL;44957;50568;-3065;1;False
5;31359;8;NULL;44414;50025;-3065;1;False
5;31359;9;NULL;44444;49078;-3065;1;False
5;31359;10;The Mother Tree is slowly dying;45403;48436;-3065;5;False
5;31359;11;How can we save the Mother Tree?;46103;48798;-3065;5;False
5;31359;12;NULL;46444;49742;-3065;2;False
6;31358;1;Lady Mirabel may the peace of the lake be with you!;47015;51278;-2992;65;False
6;31358;2;NULL;47437;50441;-2992;1;False
6;31358;3;NULL;47509;49038;-2992;1;False
6;31358;4;NULL;46725;47755;-2992;1;False
6;31358;5;The Mother Tree is always so gorgeous!;45319;47339;-2992;5;False
6;31358;6;NULL;43998;47672;-2992;1;False
6;31358;7;NULL;43037;49310;-2992;1;False
6;31358;8;NULL;43310;50382;-2992;1;False
6;31358;9;NULL;43896;51060;-2992;1;False
6;31358;10;NULL;43312;50362;-2992;1;False
6;31358;11;NULL;43040;49311;-2992;1;False
6;31358;12;NULL;44018;47645;-2992;1;False
6;31358;13;The Mother Tree is always so gorgeous!;45301;47340;-2992;5;False
6;31358;14;NULL;46693;47752;-2992;1;False
6;31358;15;NULL;47489;48976;-2992;1;False
6;31358;16;NULL;47441;50455;-2992;1;False
7;31357;1;Where did he go?;-86328;241120;-3734;60;False
7;31357;2;NULL;-86505;240727;-3704;1;False
7;31357;3;NULL;-86081;240402;-3712;1;False
7;31357;4;Have you seen Windawood?;-86078;240853;-3720;15;False
7;31357;5;NULL;-85957;241389;-3728;1;False
7;31357;6;Where has he gone?;-83993;242766;-3728;10;False
7;31357;7;NULL;-82952;244461;-3728;1;False
7;31357;8;NULL;-82370;244919;-3720;1;False
7;31357;9;NULL;-82129;245020;-3720;1;False
7;31357;10;NULL;-82198;245350;-3712;1;False
7;31357;11;NULL;-82554;245137;-3716;1;False
7;31357;12;NULL;-82198;245350;-3712;1;False
7;31357;13;NULL;-82129;245020;-3720;1;False
7;31357;14;NULL;-82370;244919;-3720;1;False
7;31357;15;NULL;-82952;244461;-3728;1;False
7;31357;16;Where has he gone?;-83993;242766;-3728;10;False
7;31357;17;NULL;-85957;241389;-3728;1;False
7;31357;18;Have you seen Windawood?;-86078;240853;-3720;15;False
7;31357;19;NULL;-86081;240402;-3712;1;False
7;31357;20;NULL;-86505;240727;-3704;1;False
8;31356;1;A delivery for Mr. Lector? Very good!;-81681;243384;-3712;61;True
8;31356;2;NULL;-81915;243870;-3712;1;True
8;31356;3;NULL;-82084;243659;-3712;1;True
8;31356;4;NULL;-83148;243731;-3728;1;True
8;31356;5;I need a break!;-84497;243241;-3728;6;True
8;31356;6;NULL;-85212;243184;-3728;1;True
8;31356;7;NULL;-86161;242898;-3728;1;True
8;31356;8;NULL;-86281;242963;-3720;1;True
8;31356;9;Hello Mr. Lector! Long time no see Mr. Jackson!;-86356;243201;-3720;7;True
8;31356;10;NULL;-86491;242781;-3720;1;True
8;31356;11;NULL;-86497;242585;-3728;1;True
8;31356;12;NULL;-86114;241587;-3728;1;True
8;31356;13;NULL;-85184;240679;-3728;1;True
8;31356;14;Lulu! Lulu!;-84099;241264;-3728;6;True
8;31356;15;Lulu!;-83709;241238;-3728;1;True
8;31356;16;NULL;-83075;241150;-3728;1;True
8;31356;17;NULL;-82383;242926;-3720;1;True
9;31364;1;NULL;-46506;-109402;-238;10;False
9;31364;2;NULL;-45752;-111652;-240;1;False
9;31364;3;NULL;-44028;-112688;-240;1;False
9;31364;4;NULL;-44049;-114536;-240;1;False
9;31364;5;NULL;-45540;-115415;-240;1;False
9;31364;6;NULL;-46526;-117731;-240;1;False
9;31364;7;NULL;-45540;-115415;-240;1;False
9;31364;8;NULL;-44049;-114536;-240;1;False
9;31364;9;NULL;-44028;-112688;-240;1;False
9;31364;10;NULL;-45752;-111652;-240;1;False
10;31365;1;NULL;-48807;-113489;-241;61;False
10;31365;2;NULL;-48821;-113746;-232;1;False
10;31365;3;NULL;-48823;-113505;-232;61;False
10;31365;4;NULL;-47339;-113581;-232;1;False
10;31365;5;NULL;-45740;-113562;-240;1;False
10;31365;6;NULL;-44851;-112965;-240;1;False
10;31365;7;NULL;-44308;-113207;-240;1;False
10;31365;8;NULL;-44204;-113743;-240;1;False
10;31365;9;NULL;-44659;-114171;-240;1;False
10;31365;10;NULL;-45167;-114034;-224;1;False
10;31365;11;NULL;-45658;-113633;-240;1;False
10;31365;12;NULL;-47363;-113621;-224;1;False
10;31365;13;NULL;-48829;-113746;-232;1;False
10;31365;14;NULL;-47363;-113621;-224;1;False
10;31365;15;NULL;-45658;-113633;-240;1;False
10;31365;16;NULL;-45167;-114034;-224;1;False
10;31365;17;NULL;-44659;-114171;-240;1;False
10;31365;18;NULL;-44204;-113743;-240;1;False
10;31365;19;NULL;-44308;-113207;-240;1;False
10;31365;20;NULL;-44851;-112965;-240;1;False
10;31365;21;NULL;-45740;-113562;-240;1;False
11;32072;1;NULL;84429;-144065;-1542;10;False
11;32072;2;NULL;84465;-142493;-1536;1;False
11;32072;3;NULL;85234;-140963;-1536;1;False
11;32072;4;NULL;87351;-140059;-1536;5;False
11;32072;5;NULL;89343;-140746;-1536;1;False
11;32072;6;NULL;90605;-143167;-1536;1;False
11;32072;7;NULL;90271;-143869;-1536;10;False
11;32072;8;NULL;90605;-143167;-1536;1;False
11;32072;9;NULL;89343;-140746;-1536;1;False
11;32072;10;NULL;87351;-140059;-1536;5;False
11;32072;11;NULL;85234;-140963;-1536;1;False
11;32072;12;NULL;84465;-142493;-1536;1;False
12;32070;1;NULL;90271;-143869;-1547;10;True
12;32070;2;NULL;90605;-143167;-1536;1;True
12;32070;3;NULL;89343;-140746;-1536;1;True
12;32070;4;NULL;87351;-140059;-1536;5;True
12;32070;5;NULL;85234;-140963;-1536;1;True
12;32070;6;NULL;84465;-142493;-1536;1;True
12;32070;7;NULL;84434;-144061;-1528;10;True
12;32070;8;NULL;84465;-142493;-1536;1;True
12;32070;9;NULL;85234;-140963;-1536;1;True
12;32070;10;NULL;87351;-140059;-1536;5;True
12;32070;11;NULL;89343;-140746;-1536;1;True
12;32070;12;NULL;90605;-143167;-1536;1;True
13;31705;1;NULL;191271;-49397;-2983;1;True
13;31705;2;NULL;193505;-46777;-2938;1;True
13;31705;3;NULL;194204;-43607;-2872;1;True
13;31705;4;NULL;193742;-41834;-2960;1;True
13;31705;5;NULL;194630;-40542;-2888;1;True
13;31705;6;NULL;192478;-36502;-2952;1;True
13;31705;7;NULL;189400;-34890;-2864;1;True
13;31705;8;NULL;187862;-36736;-3120;1;True
13;31705;9;NULL;186105;-35140;-3064;1;True
13;31705;10;NULL;183899;-37144;-3080;1;True
13;31705;11;NULL;180612;-37318;-3102;1;True
13;31705;12;NULL;179177;-42731;-3276;1;True
13;31705;13;NULL;177703;-43660;-3352;1;True
13;31705;14;NULL;178106;-46095;-3432;1;True
13;31705;15;NULL;179843;-47843;-3320;1;True
13;31705;16;NULL;177067;-50159;-3392;1;True
13;31705;17;NULL;174749;-50782;-3433;1;True
13;31705;18;NULL;171427;-47034;-3512;1;True
13;31705;19;NULL;172536;-45174;-3472;1;True
13;31705;20;NULL;172758;-43047;-3440;1;True
13;31705;21;NULL;171248;-42313;-3456;1;True
13;31705;22;NULL;170162;-39056;-3455;1;True
13;31705;23;NULL;171248;-42313;-3456;1;True
13;31705;24;NULL;172758;-43047;-3440;1;True
13;31705;25;NULL;172536;-45174;-3472;1;True
13;31705;26;NULL;171427;-47034;-3512;1;True
13;31705;27;NULL;174749;-50782;-3433;1;True
13;31705;28;NULL;177067;-50159;-3392;1;True
13;31705;29;NULL;179843;-47843;-3320;1;True
13;31705;30;NULL;178106;-46095;-3432;1;True
13;31705;31;NULL;177703;-43660;-3352;1;True
13;31705;32;NULL;179177;-42731;-3276;1;True
13;31705;33;NULL;180612;-37318;-3102;1;True
13;31705;34;NULL;183899;-37144;-3080;1;True
13;31705;35;NULL;186105;-35140;-3064;1;True
13;31705;36;NULL;187862;-36736;-3120;1;True
13;31705;37;NULL;189400;-34890;-2864;1;True
13;31705;38;NULL;192478;-36502;-2952;1;True
13;31705;39;NULL;194630;-40542;-2888;1;True
13;31705;40;NULL;193742;-41834;-2960;1;True
13;31705;41;NULL;194204;-43607;-2872;1;True
13;31705;42;NULL;193505;-46777;-2938;1;True